CustomerID,FirstName,LastName,Gender,Age,DateOfBirth,MaritalStatus,NumberOfDependents,Occupation,EducationLevel,Country,County,Town,PostalCode,Region,JoinDate,TenureMonths,CustomerSegment,SubscriptionPlan,ContractType,NumberOfProducts,PremiumMember,ReferralSource,AccountManagerAssigned,PreferredCommunication,MonthlyCharges,TotalCharges,AverageMonthlySpend,PaymentMethod,AutoPay,BillingFrequency,LatePayments,OutstandingBalance,DiscountsReceived,LastPaymentAmount,LoginsPerMonth,AverageSessionMinutes,SessionsPerWeek,DaysSinceLastLogin,FeaturesAvailable,FeaturesUsed,FeatureAdoptionRate,PurchasesLast12Months,AveragePurchaseValue,UsageTrend,EmailOpenRate,MarketingClickRate,LoyaltyPoints,PromotionsRedeemed,CommunityParticipation,SupportTickets,Complaints,AverageResolutionHours,Escalations,RefundRequests,CustomerSupportRating,NetPromoterScore,CustomerSatisfactionScore,SurveyScore,ProductRating,CustomerLifetimeValue,EstimatedAnnualRevenue,ProfitMarginPercent,Churn,ChurnDate,ChurnReason,ChurnRiskScore,CustomerHealthScore,EngagementScore,SatisfactionCategory
KE-CUST-000024,John,Otieno,Male,40,1985-02-27,Widowed,0,Nurse,Bachelor's Degree,Kenya,Nakuru,Nakuru,20100,Rift Valley Region,2019-02-02,82,Residential,Premium,Month-to-Month,2,Yes,Social Media,No,WhatsApp,3587.07,285815.61,4366.36,Debit Card,Yes,Quarterly,0,0.31,22.5,3549.29,20,14.9,0,2,8,3,37.5,9,1886.98,Decreasing,41.4,6.5,1114,1,Low,2,1,20.7,0,0,5,6,5,99.0,5.0,244323.55,27925.59,17.4,No,,,55.4,63.1,29.7,Very Satisfied
KE-CUST-000025,Ali,Ogega,Male,40,1985-10-25,Divorced,0,Project Manager,PhD,Kenya,Mombasa,Mombasa,80100,Coast Region,2025-08-30,4,Residential,Standard,12 Months,5,No,Online Search,No,Email,1921.05,8668.73,1980.67,Credit Card,Yes,Monthly,0,43.2,98.14,1911.03,21,24.6,2,3,9,7,77.8,4,1489.79,Increasing,24.0,2.6,73,0,Low,0,0,2.1,0,0,5,8,4,80.0,4.0,28985.23,25049.24,20.5,No,,,24.4,78.6,49.6,Satisfied
KE-CUST-000026,Jane,Ochieng,Female,18,2007-01-17,Single,1,Business Analyst,Bachelor's Degree,Kenya,Nairobi,Nairobi,100,Nairobi Region,2019-09-26,61,Residential,Premium,12 Months,3,No,Agent,No,Call,4317.55,272030.91,3199.06,Cash,Yes,Monthly,0,7.13,74.49,4035.66,8,18.7,3,29,14,7,50.0,5,2348.86,Stable,67.7,25.4,326,2,Medium,3,1,16.2,0,0,4,6,3,45.0,4.0,150523.99,55488.94,14.7,Yes,2024-10-21,Relocated,74.3,48.8,18.1,Neutral
KE-CUST-000027,Otieno,Owino,Male,60,1965-04-23,Single,1,Farmer,Secondary,Kenya,Nairobi,Nairobi,100,Nairobi Region,2024-09-22,15,SME,Standard,Month-to-Month,4,No,Walk-in,Yes,WhatsApp,2279.3,34848.83,2454.0,Bank Transfer,No,Monthly,3,7418.53,171.49,2210.35,25,32.9,8,8,14,10,71.4,5,2071.77,Decreasing,28.2,6.0,452,2,Low,4,1,7.1,0,0,5,7,4,87.0,4.0,49250.84,27881.29,18.2,No,,,44.8,77.6,61.0,Satisfied
KE-CUST-000028,Adhiambo,Nyakundi,Female,51,1974-04-10,Married,1,Data Analyst,Bachelor's Degree,Kenya,Nakuru,Nakuru,20100,Rift Valley Region,2022-03-13,45,Corporate,Business,12 Months,3,No,Online Search,Yes,Email,5629.44,252046.41,5586.5,Cash,Yes,Monthly,0,69.29,15.01,5527.04,16,22.7,7,5,10,1,10.0,1,2176.12,Increasing,40.4,6.4,1663,3,Low,1,0,2.0,0,0,4,9,4,77.0,5.0,185077.62,104322.59,11.9,No,,,42.6,65.8,36.5,Satisfied
KE-CUST-000029,Naliaka,Wafula,Female,31,1994-03-25,Single,2,Project Manager,Bachelor's Degree,Kenya,Nairobi,Nairobi,100,Nairobi Region,2024-06-09,18,Residential,Basic,12 Months,2,No,Social Media,No,Call,862.89,15563.08,755.71,Debit Card,No,Monthly,2,1132.91,17.19,899.84,28,25.8,3,2,11,9,81.8,3,1271.99,Increasing,63.4,26.9,920,3,Low,1,0,3.7,0,1,5,9,4,67.0,4.0,23372.52,13320.48,10.4,No,,,20.4,90.1,73.7,Satisfied
KE-CUST-000030,Omar,Musyoka,Male,23,2002-09-01,Single,0,Mechanic,Master's Degree,Kenya,Meru,Meru,60200,Eastern Region,2019-12-26,34,Residential,Basic,12 Months,6,No,Walk-in,No,Email,1013.22,34500.45,924.56,M-Pesa,No,Monthly,2,237.02,985.21,970.33,20,6.0,3,1,13,10,76.9,4,1897.32,Stable,52.3,9.0,86,0,Medium,2,0,11.0,0,0,4,9,5,100.0,5.0,33500.38,14363.87,12.2,Yes,2022-10-03,No Longer Needed,14.3,100.0,69.3,Very Satisfied
KE-CUST-000031,Patricia,Kamau,Female,40,1985-12-04,Single,0,Doctor,Unknown,Kenya,Nairobi,Nairobi,100,Nairobi Region,2022-12-11,36,Residential,Standard,24 Months,3,No,Agent,No,Email,1984.47,69651.37,2000.88,Credit Card,No,Monthly,1,584.73,890.18,1869.97,19,30.6,7,10,7,3,42.9,5,1013.03,Stable,53.8,19.4,452,2,Low,3,0,27.4,0,2,5,5,5,100.0,5.0,77806.51,32962.98,19.2,No,,,29.7,83.7,64.5,Very Satisfied
KE-CUST-000032,George,Ali,Male,37,1988-04-17,Married,3,Accountant,Bachelor's Degree,Kenya,Nakuru,Nakuru,20100,Rift Valley Region,2025-12-03,0,Residential,Basic,12 Months,4,No,Online Search,No,WhatsApp,1073.69,0.0,914.46,Bank Transfer,Yes,Monthly,0,153.09,495.05,1056.92,28,34.1,6,9,11,5,45.5,3,1139.41,Decreasing,33.3,9.9,1042,1,Medium,5,1,24.0,0,0,5,6,4,73.0,3.0,16286.48,11880.71,17.0,No,,,42.8,72.2,59.1,Satisfied
KE-CUST-000033,Elias,Ali,Male,40,1985-12-16,Married,4,Sales Executive,Secondary,Kenya,Nakuru,Nakuru,20100,Rift Valley Region,2019-12-29,72,Corporate,Enterprise,12 Months,3,Yes,SMS Promotion,Yes,SMS,11936.08,871217.12,12319.57,Bank Transfer,Yes,Monthly,0,17.72,510.66,12380.0,15,24.2,4,12,5,3,60.0,4,821.33,Stable,42.4,9.3,1102,2,Low,0,0,15.6,0,0,5,6,5,88.0,5.0,412643.11,181219.81,21.7,No,,,38.2,79.3,48.3,Very Satisfied
KE-CUST-000034,Jerop,Ogega,Female,38,1987-06-23,Single,0,Unknown,Bachelor's Degree,Kenya,Nairobi,Nairobi,100,Nairobi Region,2023-09-10,27,Residential,Basic,Month-to-Month,4,No,Walk-in,No,Email,791.63,22252.01,812.13,Cash,No,Monthly,1,306.54,32.65,783.66,10,24.94090356564019,4,2,13,4,30.8,6,1159.98,Increasing,30.8,9.3,717,3,Low,1,0,6.0,0,0,4,8,4,81.0,4.0,23873.61,11784.93,21.9,No,,,23.9,87.3,41.6,Satisfied
KE-CUST-000035,Diana,Mwangi,Female,42,1983-10-06,Single,2,ICT Officer,Master's Degree,Kenya,Kisii,Kisii,40200,Nyanza Region,2019-09-02,2,SME,Business,12 Months,2,No,SMS Promotion,Yes,Unknown,5714.4,11731.64,6312.11,M-Pesa,Yes,Quarterly,1,1207.53,64.1,5844.78,20,32.7,4,15,12,3,25.0,5,2137.04,Stable,75.1,31.9,3680,2,Low,2,1,22.8,0,1,5,8,4,70.0,3.0,91348.21,61106.58,18.0,Yes,2019-11-28,Financial Constraints,56.7,68.4,34.9,Satisfied
KE-CUST-000036,Faith,Simiyu,Female,53,1972-08-22,Divorced,0,Teacher,Master's Degree,Kenya,Nyeri,Nyeri,10100,Central Region,2022-12-29,36,Residential,Family,Month-to-Month,2,Yes,Advertisement,No,WhatsApp,3660.79,139442.51,3656.79,M-Pesa,No,Monthly,2,1390.95,131.56,3525.89,7,33.0,4,2,9,5,55.6,3,1918.75,Decreasing,32.0,13.1,1025,3,Low,2,1,8.7,0,0,5,4,5,100.0,5.0,138237.95,44703.85,13.5,No,,,46.7,69.8,39.7,Very Satisfied
KE-CUST-000037,Barasa,Ndungu,Male,43,1982-02-06,Married,3,Doctor,Bachelor's Degree,Kenya,Kiambu,Kiambu,900,Central Region,2018-05-05,91,Residential,Premium,Month-to-Month,4,Yes,Online Search,No,WhatsApp,5305.35,502108.54,5470.94,Bank Transfer,No,Monthly,2,158.56,277.49,5395.51,13,25.3,9,5,9,7,77.8,3,2309.47,Increasing,37.5,15.2,1994,0,High,2,0,18.2,0,0,5,8,5,100.0,4.0,293025.15,76785.47,19.5,No,,,32.2,84.4,67.4,Very Satisfied
KE-CUST-000038,Michael,Nyakundi,Male,23,2002-06-13,Married,4,Marketing Officer,Bachelor's Degree,Kenya,Kisumu,Kisumu,40100,Nyanza Region,2024-12-23,12,Residential,Premium,Month-to-Month,3,Yes,Advertisement,No,Call,2320.47,26101.05,1953.57,M-Pesa,Yes,Monthly,0,5.52,753.3,2382.83,29,19.4,9,5,13,10,76.9,3,1545.56,Increasing,12.8,3.1,464,2,Low,2,1,10.0,0,0,4,8,5,100.0,5.0,35764.83,33956.68,15.0,No,,,30.7,89.4,74.6,Very Satisfied
KE-CUST-000039,Naliaka,Karanja,Female,52,1973-07-07,Married,1,Driver,Master's Degree,Kenya,Machakos,Machakos,90100,Eastern Region,2018-06-08,90,Residential,Premium,12 Months,2,Yes,Agent,No,Call,3148.06,245838.93,3089.51,M-Pesa,No,Monthly,2,2352.48,1651.59,3004.57,15,9.5,7,30,15,8,53.3,1,227.61,Increasing,63.0,26.4,559,2,Low,2,1,13.5,0,0,5,6,5,100.0,5.0,197939.64,30991.37,23.6,No,,,53.4,66.9,42.4,Very Satisfied
KE-CUST-000040,Francis,Moraa,Male,56,1969-09-08,Married,1,Marketing Officer,Bachelor's Degree,Kenya,Kisumu,Kisumu,40100,Nyanza Region,2024-01-11,23,SME,Standard,Month-to-Month,2,No,Walk-in,Yes,SMS,2072.14,52824.77,2065.89,M-Pesa,No,Monthly,1,1022.11,603.75,1993.44,22,21.0,5,5,8,3,37.5,4,1688.4,Increasing,52.8,19.3,562,3,Low,2,0,12.6,0,0,5,8,5,100.0,5.0,70559.16,28455.61,14.9,No,,,38.6,85.0,56.3,Very Satisfied
KE-CUST-000041,Simon,Kimutai,Male,74,1951-07-04,Married,0,Lecturer,Secondary,Kenya,Kiambu,Kiambu,900,Central Region,2019-05-08,79,Government,Business,Month-to-Month,4,No,Agent,Yes,Email,9049.37,693072.41,8804.2,Credit Card,No,Monthly,1,119.86,66.41,8132.89,1,26.4,10,6,5,3,60.0,3,2678.78,Decreasing,63.1,13.0,1172,1,Low,1,0,32.6,0,1,4,6,4,88.0,4.0,345163.35,119127.4,14.5,No,,,46.5,78.4,54.5,Satisfied
KE-CUST-000042,Diana,Mwangi,Female,23,2002-06-04,Single,1,Electrician,Master's Degree,Kenya,Kakamega,Kakamega,50100,Western Region,2021-06-30,54,Residential,Family,24 Months,1,No,Advertisement,No,Email,4124.29,200949.09,4215.75,M-Pesa,Yes,Monthly,0,4.57,914.55,4226.7,26,19.5,9,7,9,8,88.9,3,1747.19,Stable,11.4,2.7,579,1,Medium,2,0,12.5,0,0,5,8,4,84.0,5.0,227042.91,51158.6,15.5,No,,,37.4,86.1,76.8,Satisfied
KE-CUST-000043,Joseph,Otieno,Male,39,1986-08-04,Single,0,Project Manager,Diploma,Kenya,Meru,Meru,60200,Eastern Region,2021-04-08,56,SME,Business,Month-to-Month,3,No,Walk-in,No,SMS,7225.46,390477.4,7775.27,M-Pesa,Yes,Monthly,0,21.63,471.31,6945.41,13,21.4,5,7,14,3,21.4,2,2184.91,Decreasing,79.6,12.8,357,1,Medium,1,0,24.6,0,0,5,6,5,99.0,5.0,267287.57,82595.59,26.5,No,,,47.8,69.0,33.0,Very Satisfied
KE-CUST-000044,Nancy,Omondi,Female,18,2007-09-05,Married,1,Farmer,Bachelor's Degree,Kenya,Nakuru,Nakuru,20100,Rift Valley Region,2019-03-18,81,Residential,Basic,12 Months,4,No,Advertisement,No,WhatsApp,970.81,76792.74,920.15,M-Pesa,No,Monthly,2,95.47,37.2,958.51,15,24.4,2,20,13,5,38.5,7,2208.4,Decreasing,33.8,9.7,781,0,Low,2,0,18.2,0,0,5,7,4,87.0,4.0,40187.67,12874.93,18.5,No,,,39.1,80.4,20.8,Satisfied
KE-CUST-000045,Barasa,Moraa,Male,43,1982-08-25,Single,2,Farmer,Secondary,Kenya,Nairobi,Nairobi,100,Nairobi Region,2021-11-30,24,Government,Business,Month-to-Month,2,No,Walk-in,Yes,Email,7261.17,171572.88,7035.92,Bank Transfer,No,Annually,1,992.16,166.48,7195.51,28,22.6,8,7,12,8,66.7,5,1002.02,Stable,41.4,4.5,217,1,High,4,1,7.1,0,1,4,4,4,86.0,4.0,88297.19,120948.22,19.8,Yes,2023-11-10,Service Reliability,57.9,69.3,70.9,Satisfied
KE-CUST-000046,Hellen,Kimutai,Female,29,1996-06-23,Widowed,1,Software Developer,Secondary,Kenya,Nairobi,Nairobi,100,Nairobi Region,2025-08-29,4,Government,Business,Month-to-Month,4,Yes,Online Search,Yes,WhatsApp,4642.58,18367.21,5413.07,M-Pesa,No,Monthly,2,160.46,651.15,4754.64,21,30.3,7,1,6,6,100.0,3,1067.81,Stable,33.7,9.3,3285,5,Low,1,0,16.7,0,1,5,6,4,71.0,4.0,71574.77,60076.29,18.8,No,,,30.8,82.1,82.9,Satisfied
KE-CUST-000047,Daniel,Kibet,Male,59,1966-05-18,Single,0,Student,Bachelor's Degree,Kenya,Nakuru,Nakuru,20100,Rift Valley Region,2020-01-09,71,Residential,Basic,Month-to-Month,3,No,Social Media,No,Email,834.52,60633.38,634.84,Bank Transfer,No,Monthly,0,135.81,823.32,810.57,19,35.0,2,5,9,5,55.6,4,1766.41,Increasing,14.4,4.6,946,1,Low,2,0,12.6,0,0,5,8,4,81.43809523809524,4.0,28154.42,9522.05,19.7,No,,,44.7,68.1,42.8,Satisfied
